account_id,account_name,industry,region,segment,billing_country,created_at,account_status,is_churned,employee_band,owner_team,workspace_count,active_workspace_count,prod_workspace_count,sandbox_workspace_count,primary_workspace_name,user_count,active_user_count,inactive_user_count,provisioned_user_count
A1001,Helio Systems,healthcare,EMEA,mid_market,NL,2024-08-12 13:43:48,active,false,201-500,CSM-EMEA,3,3,3,0,helio-core,9,7,2,0
A1002,Summit Foods,media,NA,mid_market,US,2025-01-10 22:12:29,active,false,501-1000,CSM-East,3,3,2,1,summit-core,12,11,1,0
A1003,Nova Ventures,manufacturing,NA,enterprise,US,2024-12-11 03:21:52,active,false,1000+,CSM-East,3,2,2,1,nova-core,16,15,1,0
A1004,Silver Solutions,manufacturing,NA,enterprise,US,2024-09-07 13:27:43,churned,true,5000+,CSM-East,2,0,1,1,silver-core,14,6,8,0
A1005,Pacific Labs,manufacturing,EMEA,enterprise,UK,2024-08-31 14:28:15,active,false,5000+,CSM-EMEA,3,3,3,0,pacific-core,15,12,3,0
A1006,Helio Works,education,EMEA,mid_market,UK,2024-11-21 09:17:28,active,false,201-500,CSM-EMEA,2,2,2,0,helio-core,7,5,2,0
A1007,Silver Systems,energy,EMEA,smb,FR,2024-12-22 18:20:12,active,false,51-200,CSM-EMEA,1,1,1,0,silver-core,4,3,1,0
A1008,Pacific Works,software,EMEA,mid_market,UK,2024-10-06 11:07:40,active,false,201-500,CSM-EMEA,3,3,3,0,pacific-core,11,11,0,0
A1009,Summit Group,financial_services,NA,mid_market,US,2024-08-22 17:22:46,active,false,501-1000,CSM-East,2,2,2,0,summit-core,13,11,2,0
A1010,Orchid Foods,education,NA,smb,CA,2025-02-10 21:10:21,active,false,11-50,CSM-East,1,1,1,0,orchid-core,8,7,1,0
A1011,Vertex Energy,software,NA,smb,CA,2025-01-14 09:17:33,active,false,51-200,CSM-East,1,1,1,0,vertex-core,6,6,0,0
A1012,Cedar Ventures,retail,APAC,smb,JP,2024-08-19 07:09:23,active,false,11-50,CSM-APAC,2,2,1,1,cedar-core,7,6,1,0
A1013,River Foods,manufacturing,NA,mid_market,US,2024-12-27 04:56:58,active,false,501-1000,CSM-East,3,3,3,0,river-core,7,5,2,0
A1014,Evergreen Global,retail,APAC,enterprise,SG,2024-09-21 19:29:43,churned,true,1000+,CSM-APAC,1,0,1,0,evergreen-core,18,4,14,0
A1015,Delta Network,logistics,NA,smb,US,2024-09-04 16:34:41,churned,true,51-200,CSM-East,2,0,1,1,delta-core,3,0,3,0
A1016,BluePeak Capital,energy,EMEA,enterprise,DE,2024-12-24 05:07:46,active,false,1000+,CSM-EMEA,4,4,4,0,bluepeak-core,19,19,0,0
A1017,Summit Analytics,financial_services,EMEA,mid_market,UK,2024-11-28 10:14:21,active,false,201-500,CSM-EMEA,2,2,2,0,summit-core,9,8,1,0
A1018,Harbor Manufacturing,media,EMEA,smb,UK,2024-09-18 20:10:22,churned,true,11-50,CSM-EMEA,2,0,2,0,harbor-core,3,2,1,0
A1019,Sierra Systems,education,APAC,smb,JP,2025-02-26 10:36:13,active,false,51-200,CSM-APAC,2,2,1,1,sierra-core,4,3,1,0
A1020,Pioneer Network,travel,EMEA,smb,FR,2025-02-18 00:09:23,active,false,11-50,CSM-EMEA,1,1,1,0,pioneer-core,4,3,1,0
A1021,Apex Logistics,software,NA,smb,US,2024-10-25 12:34:29,active,false,11-50,CSM-East,1,1,1,0,apex-core,7,7,0,0
A1022,Summit Collective,retail,APAC,smb,NZ,2025-02-16 16:16:56,active,false,51-200,CSM-APAC,2,2,1,1,summit-core,5,3,2,0
A1023,Atlas Systems,education,NA,smb,CA,2025-01-31 16:25:38,active,false,11-50,CSM-East,1,1,1,0,atlas-core,8,8,0,0
A1024,Sierra Group,manufacturing,NA,smb,CA,2025-01-29 08:59:07,active,false,11-50,CSM-East,2,2,2,0,sierra-core,4,4,0,0
A1025,Bright Capital,education,EMEA,smb,UK,2024-10-14 09:44:56,active,false,51-200,CSM-EMEA,1,1,1,0,bright-core,6,5,1,0
A1026,Pioneer Capital,education,NA,smb,CA,2024-08-30 06:38:17,active,false,11-50,CSM-East,1,1,1,0,pioneer-core,8,8,0,0
A1027,BluePeak Health,retail,APAC,smb,SG,2024-10-31 19:12:59,active,false,51-200,CSM-APAC,2,2,2,0,bluepeak-core,5,5,0,0
A1028,Apex Energy,energy,APAC,mid_market,SG,2024-12-26 04:17:07,active,false,501-1000,CSM-APAC,2,2,1,1,apex-core,11,10,1,0
A1029,Bright Labs,manufacturing,APAC,enterprise,NZ,2024-08-31 01:24:19,churned,true,1000+,CSM-APAC,1,0,1,0,bright-core,17,3,13,1
A1030,Northwind Analytics,financial_services,EMEA,enterprise,UK,2024-08-23 04:49:08,active,false,5000+,CSM-EMEA,4,4,4,0,northwind-core,12,11,1,0
A1031,Helio Holdings,healthcare,APAC,mid_market,AU,2025-02-14 05:18:16,active,false,201-500,CSM-APAC,3,3,3,0,helio-core,10,10,0,0
A1032,Vertex Works,manufacturing,EMEA,mid_market,DE,2024-09-16 13:25:27,churned,true,201-500,CSM-EMEA,2,0,2,0,vertex-core,6,4,2,0
A1033,Lighthouse Global,logistics,NA,mid_market,CA,2024-10-19 07:50:01,active,false,201-500,CSM-East,2,2,2,0,lighthouse-core,12,12,0,0
A1034,Helio Partners,travel,NA,smb,CA,2024-12-01 18:59:06,active,false,51-200,CSM-East,2,2,1,1,helio-core,7,7,0,0
A1035,Bright Retail,retail,EMEA,mid_market,UK,2025-02-25 19:06:57,active,false,501-1000,CSM-EMEA,3,3,2,1,bright-core,13,11,1,1
A1036,Granite Holdings,education,NA,smb,US,2024-12-22 12:14:31,churned,true,51-200,CSM-East,2,0,1,1,granite-core,3,0,3,0
A1037,Lighthouse Network,media,EMEA,enterprise,UK,2024-11-25 06:24:43,active,false,1000+,CSM-EMEA,4,4,2,2,lighthouse-core,18,15,3,0
A1038,River Systems,logistics,APAC,smb,AU,2024-11-18 10:09:31,active,false,51-200,CSM-APAC,2,2,2,0,river-core,5,4,1,0
A1039,Nova Group,media,EMEA,smb,FR,2025-02-06 17:26:48,active,false,11-50,CSM-EMEA,1,1,1,0,nova-core,7,7,0,0
A1040,Harbor Collective,healthcare,APAC,mid_market,SG,2024-12-08 12:58:20,active,false,201-500,CSM-APAC,3,3,2,1,harbor-core,12,10,2,0
A1041,Cedar Logistics,media,EMEA,mid_market,NL,2024-08-04 18:07:41,active,false,201-500,CSM-EMEA,3,3,2,1,cedar-core,12,10,2,0
A1042,Northwind Labs,manufacturing,APAC,mid_market,AU,2024-09-19 11:52:42,active,false,501-1000,CSM-APAC,3,3,2,1,northwind-core,11,10,1,0
A1043,Lighthouse Works,financial_services,APAC,enterprise,SG,2024-10-21 14:03:18,active,false,1000+,CSM-APAC,4,4,3,1,lighthouse-core,18,16,2,0
A1044,Summit Holdings,software,EMEA,smb,NL,2024-09-30 00:32:29,active,false,11-50,CSM-EMEA,1,1,1,0,summit-core,5,5,0,0
A1045,Nova Holdings,manufacturing,NA,enterprise,CA,2024-11-05 09:05:10,active,false,1000+,CSM-East,4,4,4,0,nova-core,14,14,0,0
A1046,Pioneer Solutions,education,NA,smb,CA,2024-10-17 12:09:12,active,false,51-200,CSM-East,1,1,1,0,pioneer-core,5,4,1,0
A1047,Orchid Global,healthcare,APAC,enterprise,AU,2024-10-15 00:06:00,active,false,5000+,CSM-APAC,3,3,2,1,orchid-core,19,19,0,0
A1048,Orchid Capital,financial_services,APAC,enterprise,NZ,2025-02-14 20:00:18,active,false,5000+,CSM-APAC,3,3,3,0,orchid-core,17,14,3,0
A1049,Northwind Network,energy,NA,enterprise,CA,2024-11-12 02:19:33,active,false,5000+,CSM-East,3,3,3,0,northwind-core,20,18,2,0
A1050,Cedar Energy,software,APAC,smb,JP,2025-02-15 14:48:30,active,false,11-50,CSM-APAC,2,2,1,1,cedar-core,4,4,0,0
A1051,Lighthouse Systems,media,EMEA,smb,UK,2025-02-26 02:44:10,active,false,51-200,CSM-EMEA,1,1,1,0,lighthouse-core,7,4,3,0
A1052,Sierra Labs,software,APAC,mid_market,NZ,2024-11-30 21:54:21,active,false,501-1000,CSM-APAC,2,2,2,0,sierra-core,10,9,1,0
A1053,Bright Health,media,NA,mid_market,CA,2024-09-19 10:24:29,active,false,501-1000,CSM-East,3,3,3,0,bright-core,10,9,1,0
A1054,Granite Labs,manufacturing,APAC,mid_market,NZ,2024-08-01 03:47:01,active,false,201-500,CSM-APAC,3,3,3,0,granite-core,12,8,4,0
A1055,Pioneer Systems,travel,EMEA,mid_market,FR,2025-01-19 13:44:38,active,false,501-1000,CSM-EMEA,2,2,1,1,pioneer-core,13,12,1,0
A1056,Delta Global,retail,APAC,mid_market,AU,2024-11-19 05:04:51,active,false,201-500,CSM-APAC,3,3,3,0,delta-core,11,10,1,0
A1057,Harbor Partners,education,APAC,enterprise,NZ,2024-10-17 08:01:31,active,false,1000+,CSM-APAC,4,4,3,1,harbor-core,13,12,1,0
A1058,Evergreen Analytics,travel,EMEA,smb,UK,2025-01-08 22:52:12,active,false,11-50,CSM-EMEA,2,2,2,0,evergreen-core,7,5,2,0
A1059,Evergreen Partners,education,NA,mid_market,CA,2024-09-27 07:27:52,active,false,201-500,CSM-East,2,2,1,1,evergreen-core,11,10,1,0
A1060,Cedar Foods,healthcare,NA,mid_market,CA,2024-11-05 18:41:46,active,false,201-500,CSM-East,2,2,1,1,cedar-core,13,11,2,0
A1061,Atlas Capital,travel,EMEA,enterprise,FR,2025-02-13 00:52:24,active,false,5000+,CSM-EMEA,3,3,2,1,atlas-core,17,16,0,1
A1062,Delta Manufacturing,travel,EMEA,enterprise,NL,2024-11-09 15:50:25,active,false,1000+,CSM-EMEA,3,3,3,0,delta-core,14,14,0,0
A1063,Maple Global,education,NA,smb,CA,2024-11-14 12:34:06,active,false,11-50,CSM-East,1,1,1,0,maple-core,4,3,1,0
A1064,Atlas Health,education,NA,smb,US,2024-08-25 22:39:22,active,false,51-200,CSM-East,1,1,1,0,atlas-core,4,4,0,0
A1065,Vertex Partners,manufacturing,NA,mid_market,US,2024-12-30 06:11:13,active,false,501-1000,CSM-East,2,2,2,0,vertex-core,11,9,2,0
A1066,Pacific Capital,manufacturing,APAC,mid_market,NZ,2025-01-10 17:33:41,active,false,201-500,CSM-APAC,2,2,2,0,pacific-core,12,10,2,0
A1067,Maple Energy,healthcare,NA,mid_market,CA,2024-12-30 00:24:42,active,false,201-500,CSM-East,2,2,1,1,maple-core,7,6,1,0
A1068,Helio Health,manufacturing,APAC,enterprise,SG,2024-08-11 12:36:33,active,false,1000+,CSM-APAC,4,4,3,1,helio-core,16,15,1,0
A1069,Bright Foods,manufacturing,NA,enterprise,CA,2024-12-06 03:08:52,active,false,5000+,CSM-East,3,3,3,0,bright-core,13,11,2,0
A1070,Helio Manufacturing,manufacturing,APAC,smb,NZ,2024-11-06 23:20:27,active,false,11-50,CSM-APAC,1,1,1,0,helio-core,8,6,2,0
A1071,Evergreen Group,education,NA,mid_market,CA,2024-08-27 15:34:10,active,false,201-500,CSM-East,3,3,2,1,evergreen-core,13,12,0,1
A1072,Summit Ventures,software,NA,enterprise,US,2024-09-29 04:18:23,active,false,5000+,CSM-East,3,3,2,1,summit-core,18,15,3,0
A1073,Silver Holdings,travel,EMEA,mid_market,DE,2024-11-08 12:21:51,active,false,201-500,CSM-EMEA,2,2,2,0,silver-core,13,10,3,0
A1074,Granite Analytics,retail,NA,mid_market,CA,2024-08-10 23:20:24,active,false,501-1000,CSM-East,3,3,3,0,granite-core,12,11,1,0
A1075,Cedar Labs,software,EMEA,smb,UK,2024-11-03 07:31:13,active,false,11-50,CSM-EMEA,1,1,1,0,cedar-core,8,8,0,0
A1076,Atlas Solutions,financial_services,EMEA,mid_market,UK,2025-02-23 21:32:44,active,false,201-500,CSM-EMEA,2,2,2,0,atlas-core,13,13,0,0
A1077,Evergreen Foods,travel,NA,mid_market,CA,2024-09-10 23:41:36,active,false,201-500,CSM-East,3,3,3,0,evergreen-core,12,7,4,1
A1078,Beacon Foods,software,EMEA,mid_market,FR,2025-02-26 00:08:06,active,false,501-1000,CSM-EMEA,3,3,3,0,beacon-core,12,10,2,0
A1079,Nova Foods,education,EMEA,enterprise,FR,2024-09-03 15:45:24,active,false,1000+,CSM-EMEA,4,4,4,0,nova-core,20,14,6,0
A1080,Beacon Global,financial_services,EMEA,mid_market,NL,2024-08-12 03:30:12,active,false,201-500,CSM-EMEA,2,2,2,0,beacon-core,10,10,0,0
A1081,River Collective,financial_services,NA,mid_market,CA,2024-11-17 14:36:21,active,false,201-500,CSM-East,3,3,2,1,river-core,9,7,1,1
A1082,Summit Manufacturing,manufacturing,NA,mid_market,US,2024-11-16 19:18:31,churned,true,501-1000,CSM-East,1,0,1,0,summit-core,7,2,5,0
A1083,Falcon Works,education,NA,mid_market,CA,2025-01-05 01:17:30,active,false,501-1000,CSM-East,2,2,1,1,falcon-core,7,5,2,0
A1084,Silver Foods,manufacturing,NA,mid_market,CA,2024-12-07 11:11:54,active,false,501-1000,CSM-East,2,2,2,0,silver-core,11,9,2,0
A1085,Sierra Capital,financial_services,NA,smb,US,2024-09-16 10:19:51,active,false,11-50,CSM-East,1,1,1,0,sierra-core,4,4,0,0
A1086,River Labs,software,EMEA,smb,FR,2025-02-20 17:58:12,active,false,11-50,CSM-EMEA,1,1,1,0,river-core,5,4,1,0
A1087,Apex Capital,energy,NA,enterprise,CA,2024-11-26 09:20:17,churned,true,1000+,CSM-East,1,0,1,0,apex-core,9,4,4,1
A1088,Cedar Partners,energy,APAC,smb,NZ,2025-02-07 15:19:15,active,false,51-200,CSM-APAC,1,1,1,0,cedar-core,6,5,1,0
A1089,Beacon Network,healthcare,NA,mid_market,US,2024-11-07 01:16:08,active,false,201-500,CSM-East,2,2,2,0,beacon-core,12,10,1,1
A1090,Vertex Labs,energy,NA,smb,US,2024-09-27 22:37:20,active,false,11-50,CSM-East,1,1,1,0,vertex-core,4,4,0,0
