account_id,account_name,industry,region,segment,billing_country,account_status,is_churned,employee_band,owner_team,workspace_count,active_workspace_count,sandbox_workspace_count,primary_workspace_name,user_count,active_user_count,plan_name,plan_family,billing_cycle,support_tier,contracted_seats,discount_pct,latest_invoice_status,latest_payment_status,latest_invoice_date,latest_payment_date,latest_outstanding_amount_usd,has_past_due_invoice,latest_revenue_month,latest_recurring_revenue_usd,latest_one_time_revenue_usd,latest_total_revenue_usd,latest_collected_revenue_usd,latest_usage_date,latest_daily_active_users,latest_daily_projects_run,latest_daily_api_calls,avg_active_users_7d,avg_active_users_30d,total_projects_run_30d,total_api_calls_30d,peak_storage_gb_30d,lifetime_ticket_count,open_ticket_count,avg_csat_score,avg_first_response_minutes
A1063,Maple Global,education,NA,smb,CA,active,false,11-50,CSM-East,1,1,0,maple-core,4,3,Starter Monthly,starter,monthly,standard,5,20.0,open,,2025-06-01,,400.0,false,2025-06-01,400.0,0.0,400.0,0.0,2025-06-30,2,10,576,0.0,1.8666666666666667,266,15675,23.7,2,1,4.0,157.5
A1009,Summit Group,financial_services,NA,mid_market,US,active,false,501-1000,CSM-East,2,2,0,summit-core,13,11,Enterprise Monthly,enterprise,monthly,premium,13,10.0,paid,paid,2025-06-01,2025-06-10,0.0,false,2025-06-01,2340.0,0.0,2340.0,2340.0,2025-06-30,6,32,2031,0.0,7.333333333333333,1001,61468,27.7,3,0,4.0,27.666666666666668
A1021,Apex Logistics,software,NA,smb,US,active,false,11-50,CSM-East,1,1,0,apex-core,7,7,Starter Monthly,starter,monthly,standard,8,0.0,paid,paid,2025-06-01,2025-06-09,0.0,false,2025-06-01,500.0,0.0,500.0,500.0,2025-06-30,5,18,897,0.0,4.166666666666667,469,27805,25.9,2,0,4.0,94.0
A1072,Summit Ventures,software,NA,enterprise,US,active,false,5000+,CSM-East,3,3,1,summit-core,18,15,Enterprise Annual,enterprise,annual,premium,20,10.0,paid,paid,2025-01-01,2025-01-07,0.0,false,2025-01-01,24300.0,2500.0,26800.0,26800.0,2025-06-30,13,71,3915,0.0,9.5,1733,94474,70.8,4,0,3.75,204.25
A1077,Evergreen Foods,travel,NA,mid_market,CA,active,false,201-500,CSM-East,3,3,0,evergreen-core,12,7,Growth Monthly,growth,monthly,priority,15,0.0,paid,paid,2025-06-01,2025-06-12,0.0,false,2025-06-01,1500.0,0.0,1500.0,1500.0,2025-06-30,6,38,2104,0.0,5.233333333333333,1003,58101,36.6,4,0,4.0,45.0
A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,false,1000+,CSM-East,3,2,1,nova-core,16,15,Enterprise Annual,enterprise,annual,premium,18,5.0,paid,paid,2025-01-01,2025-01-11,0.0,false,2025-01-01,25650.0,2000.0,27650.0,27650.0,2025-06-30,9,48,2413,0.0,7.9,1299,77795,64.1,5,0,4.8,158.0
A1027,BluePeak Health,retail,APAC,smb,SG,active,false,51-200,CSM-APAC,2,2,0,bluepeak-core,5,5,Starter Monthly,starter,monthly,standard,6,0.0,paid,paid,2025-06-01,2025-06-14,0.0,false,2025-06-01,500.0,0.0,545.0,545.0,2025-06-30,3,16,1181,0.0,3.6,520,32095,22.8,1,0,4.0,8.0
A1034,Helio Partners,travel,NA,smb,CA,active,false,51-200,CSM-East,2,2,1,helio-core,7,7,Starter Monthly,starter,monthly,standard,8,0.0,paid,paid,2025-06-01,2025-06-13,0.0,false,2025-06-01,500.0,0.0,500.0,500.0,2025-06-30,6,26,1171,0.0,3.5,507,26564,20.8,3,0,4.0,376.3333333333333
A1040,Harbor Collective,healthcare,APAC,mid_market,SG,active,false,201-500,CSM-APAC,3,3,1,harbor-core,12,10,Enterprise Monthly,enterprise,monthly,premium,15,0.0,paid,paid,2025-06-01,2025-06-08,0.0,false,2025-06-01,2600.0,0.0,2834.0,2834.0,2025-06-30,5,33,1669,0.0,5.766666666666667,1066,56746,40.9,4,1,2.6666666666666665,29.0
A1041,Cedar Logistics,media,EMEA,mid_market,NL,active,false,201-500,CSM-EMEA,3,3,1,cedar-core,12,10,Growth Monthly,growth,monthly,priority,15,0.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,1500.0,0.0,1800.0,1800.0,2025-06-30,7,42,2050,0.0,6.766666666666667,1147,61506,35.5,5,0,4.4,178.8
